source_id,status,local_file,source_url,sha256,case_ids
HBC001,archived,archives/business-knowledge/research/business_cases/small_mid/buffer_2016_layoff_postmortem.html,https://buffer.com/resources/layoffs-and-moving-forward/,daa984e908babede1443cb702189a4e16945ff7ddacb734c55406deeda299ba0,BK110
HBC002,archived,archives/business-knowledge/research/business_cases/india/zerodha_business_philosophy.html,https://zerodha.com/about/philosophy,f095709adcafe6d3c38412a0f5c570e0e852df8922a60ac171aaa3d236dbf8db,BK111
HBC003,live_link_only,archives/business-knowledge/research/HISTORICAL_BUSINESS_CASES_INDEX.md,https://theprint.in/india/investors-of-indias-gomechanic-seek-audit-into-inflated-financials/1322954/,,BK112
HBC004,live_link_only,archives/business-knowledge/research/HISTORICAL_BUSINESS_CASES_INDEX.md,https://www.business-standard.com/companies/start-ups/beauty-unicorn-ceo-blames-strategy-collapse-125080101574_1.html,,BK113
HBC005,archived,archives/business-knowledge/research/business_cases/turnarounds/dominos_2010_annual_report.pdf,https://ir.dominos.com/static-files/9a709686-fd64-451a-86b5-8ce23511a49a,8017d1427cda4ad77c3b95f01e5c73fe8473ae34eb5b4dbdc71fb51fbb047504,BK114
HBC006,live_link_only,archives/business-knowledge/research/HISTORICAL_BUSINESS_CASES_INDEX.md,https://archive.starbucks.com/uploads/2018/12/4f-transformation-memos-transformation-agenda-communication-6-2008-feb-11-final.pdf,,BK115
HBC007,archived,archives/business-knowledge/research/business_cases/turnarounds/adobe_fy2012_10k.pdf,https://www.adobe.com/content/dam/cc/en/investor-relations/pdfs/ADBE-10K-FY12-FINAL.pdf,b5718957bfed012e8791388c2e2f6abe032f782440ad09e1e57132574c95497b,BK116
HBC008,archived,archives/business-knowledge/research/business_cases/turnarounds/adobe_fy2015_10k.pdf,https://www.adobe.com/content/dam/cc/en/investor-relations/pdfs/ADBE-10K-FY15-FINAL.pdf,f9ddba652f19e20752d98b1b4cedcebcb1a9a6d11dd23ab2e2f00f009a164c24,BK116
HBC009,archived,archives/business-knowledge/research/business_cases/failures/netflix_q4_2011_investor_letter.pdf,https://s22.q4cdn.com/959853165/files/doc_financials/quarterly_reports/2011/q4/Investor-Letter-Q4-2011.pdf,2d7a48f5fe707d751170b28ef013318b61232b2e39b8192bfb354204db688ed7,BK117
HBC010,archived,archives/business-knowledge/research/business_cases/failures/target_2014_annual_report.pdf,https://corporate.target.com/getmedia/ce16ceb0-3600-46c0-9dc5-47b303250fff/Target-2014-Annual-Report.pdf,0ab823443d866119bfa877093a110a919ceab5349d1bb277f127d81a39406c3f,BK118
HBC011,live_link_only,archives/business-knowledge/research/HISTORICAL_BUSINESS_CASES_INDEX.md,https://www.sec.gov/Archives/edgar/data/1533523/000162827919000125/filename1.htm,,BK119
HBC012,archived,archives/business-knowledge/research/business_cases/failures/federal_reserve_svb_review_2023.pdf,https://www.federalreserve.gov/publications/review-of-the-federal-reserves-supervision-and-regulation-of-silicon-valley-bank.htm,601c32a73e833d3b2a2d6fa5d25a23c56eac85a6fa87558dcd5aa3e30a96f2d6,BK120
HBC013,live_link_only,archives/business-knowledge/research/HISTORICAL_BUSINESS_CASES_INDEX.md,https://www.transportation.gov/briefing-room/dot-penalizes-southwest-airlines-140-million-2022-holiday-meltdown,,BK121
HBC014,archived,archives/business-knowledge/research/business_cases/compliance/cfpb_wells_fargo_2016_enforcement.html,https://www.consumerfinance.gov/archive/newsroom/consumer-financial-protection-bureau-fines-wells-fargo-100-million-widespread-illegal-practice-secretly-opening-unauthorized-accounts/,4f15eb20a699b2cec5ef72ed147250a29a11862d488a29dafa8976ae6d52a170,BK122
