source_id,status,local_file,source_url,sha256,design,rag_cards
R5-001,archived,archives/business-knowledge/research/management/nber_employee_referrals_w25920.pdf,https://www.nber.org/papers/w25920,e8809183eac74ed5cc8637d8f7302ff13ccdadccef8b1b1007b6a7a531246c4d,randomized_field_experiment,BK099
R5-002,archived,archives/business-knowledge/research/operations/nber_india_supply_chain_resilience_w30689.pdf,https://www.nber.org/papers/w30689,3a5baed325450b09a1ece7d4e60f98fdafdbc5a848a2e5702fe70439a2ef4001,event_study_firm_transactions,BK100
R5-003,archived,archives/business-knowledge/research/finance/nber_trade_credit_liquidity_w22286.pdf,https://www.nber.org/papers/w22286,909129391151dffae4e13661ce7ed5b9b73381ce006d6740780082826e08923e,quasi_experimental_liquidity_shock,BK102
R5-004,archived,archives/business-knowledge/research/finance/nber_small_bank_soft_information_w8752.pdf,https://www.nber.org/papers/w8752,9bf322fc832d3f7786018ba75e20ae3fe27bf7dcf334b04e98ee919c774150b2,empirical_banking_study,BK103
R5-005,archived,archives/business-knowledge/research/finance/nber_payment_resilience_w35115.pdf,https://www.nber.org/papers/w35115,357a6f29996d0aebfbde4f799fc87cbd58956915970b8e6412172bbcff1601b1,event_studies_surveys_and_rct,BK104
R5-006,archived,archives/business-knowledge/research/compliance/certin_15_msme_cyber_controls.pdf,https://www.cert-in.org.in/PDF/Elemental_Cyber_Defense_Controls_for_MSME.pdf,c38ae9df740de753fd9c3494ba2b635f92b5b083b1d81d3aee2c7d590ebbab93,official_indian_guidance,BK105|BK106
R5-007,archived,archives/business-knowledge/research/compliance/nist_csf20_small_business_quick_start.pdf,https://doi.org/10.6028/NIST.SP.1300,1e77c1bd63d1e15c48c870b7c17b7c9a2edf6bd5103b0940e72828515c9f1881,official_standard_guidance,BK105|BK106
R5-008,archived,archives/business-knowledge/research/compliance/cci_competition_advocacy_2026.pdf,https://www.cci.gov.in/images/publications_booklet/en/competition-advocacy-booklet-2026-english1779277830.pdf,1ef590c88155e3dd4c06177a570ceb578e51bce33c019d8e1709ef0d65df94b9,official_indian_regulator_guidance,BK108
R5-009,archived,archives/business-knowledge/research/compliance/ic3_2025_annual_report.pdf,https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,7d1fe453237654d2edcf89b0dd6b8b4b2e633fc1d5d5cfbd7dad5f7c1604a0a2,official_incident_reporting,BK107
R5-010,archived,archives/business-knowledge/research/compliance/ic3_bec_scenarios_2016.html,https://www.ic3.gov/PSA/2016/PSA160614,0a0b7410d4bfed47e0081fe582cc88f93d8dcc6d2ad651a18cc75e257a40fe7f,official_incident_scenarios,BK107
R5-011,archived,archives/business-knowledge/research/compliance/ic3_vendor_invoice_fraud_2023.html,https://www.ic3.gov/PSA/2023/PSA230324,7ad2443983dbb8f3f6d67c6495dddfdf6186a0d7f9b5cb5225c23924704639ca,official_incident_scenarios,BK107
R5-012,archived,archives/business-knowledge/research/datasets/world_bank_india_micro_enterprise_questionnaire_2022.pdf,https://microdata.worldbank.org/catalog/6495,ad886fe4011cc387f650746011bb8d5f77b00e2e213316334040485eb41b1aa8,survey_instrument,BK109
R5-013,archived,archives/business-knowledge/research/datasets/world_bank_india_micro_enterprise_implementation_2022.pdf,https://microdata.worldbank.org/catalog/6495,8818a2298dfec2eefee6d075f081c1d69e5ce1c161aace2e9162b27bd44d4105,survey_implementation_report,BK109
R5-014,archived,archives/business-knowledge/research/datasets/world_bank_india_micro_enterprise_metadata_2022.json,https://microdata.worldbank.org/metadata/export/6495/json,10e35598440bffa351030a6a0526d1ab3760d531874964af4922e7e9b37407cd,survey_metadata,BK109
R5-015,archived,archives/business-knowledge/research/datasets/world_bank_india_enterprise_survey_2022.pdf,https://www.enterprisesurveys.org/content/dam/enterprisesurveys/documents/country/India-2022.pdf,9d53a1eb2ff1b1763e5e72a72afab509237f671d90a12bf418fc24b967f460ee,survey_country_profile,BK109
R5-016,archived,archives/business-knowledge/research/hbs/GershonCryderJohn - Why Prosocial Incentives Work_3a65737a-0749-4008-86f6-70aa9945db97.pdf,https://www.hbs.edu/ris/download.aspx?name=GershonCryderJohn+-+Why+Prosocial+Incentives+Work.pdf,358d512712d9210788e9a6810e926cfe1c6aafaf9e379c094736ee76594306ad,field_and_controlled_experiments,BK094
R5-017,archived,archives/business-knowledge/research/hbs/Demand Learning and Pricing for Varying Assortments_d1e6413b-cfb4-4a7a-94d7-0d8534287f20.pdf,https://www.hbs.edu/ris/download.aspx?name=Demand+Learning+and+Pricing+for+Varying+Assortments.pdf,108c6f91cf1da9b4068ce782fd50d978e0819bf892daa2ec9384fe6f10a57f10,field_experiment_and_algorithm,BK095
R5-018,archived,archives/business-knowledge/research/hbs/24-076_c3424b9b-adbb-4aa9-897f-c29ba27687aa.pdf,https://www.hbs.edu/ris/download.aspx?name=24-076.pdf,5c3bc0708de2f509a4491db67213f35ece6a288f59cde45d0f7425655659bad6,multi_experiment_machine_learning,BK096
R5-019,archived,archives/business-knowledge/research/hbs/19-080_aae30b91-4631-422c-b843-b55e7db9e3ae.pdf,https://www.hbs.edu/ris/download.aspx?name=19-080.pdf,18089080a92f82875d4af6f81426a8ccf853de0062e583cbe43da4681d35c9ff,retailer_field_experiments,BK097
R5-020,archived,archives/business-knowledge/research/hbs/23-023_5b02c937-1c15-42ea-9a95-ae7b6f17fd21.pdf,https://www.hbs.edu/ris/download.aspx?name=23-023.pdf,e6e623fa0d173530db5e32cbd010ff1d58f2101e1a689d6ee5a60bd7d6e0c027,theory_simulation_and_field_experiment,BK098
R5-021,archived,archives/business-knowledge/research/hbs/11-034_95f981a4-388b-40f3-9751-fb654b05162e.pdf,https://www.hbs.edu/ris/download.aspx?name=11-034.pdf,75189573ffb2328557e343838df16b266cd88acb6abfd58c36fbb38cc82a1825,longitudinal_data_and_pilot,BK101
R5-022,archived_documentation,archives/business-knowledge/research/datasets/ddi-documentation-english_microdata-6495.pdf,https://microdata.worldbank.org/catalog/6495,874deca53492f9d405b7dc88ffc658dc557fb5ffad98b3f6fa8c25871a8345fb,survey_ddi_documentation,BK109
